time: 0.01, force: 0, 0, 196.20000000000002, torque: 0, 0, 0
time: 0.015625, force: 0, 7.998400319936012, 196.20000000000002, torque: 0, 0, 0
time: 0.02, force: 0, 7.998400319936012, 196.20000000000002, torque: 0, 0, 0
time: 0.03, force: 0, 28.793281535654476, 196.20000000000002, torque: 0, 0, 0
time: 0.03125, force: 0, 55.66515582624022, 196.20000000000002, torque: 0, 0, 0
time: 0.04, force: 0, 55.66515582624022, 196.20000000000002, torque: 0, 0, 0
time: 0.046875, force: 0, 82.0243522541752, 196.20000000000002, torque: 0, 0, 0
time: 0.05, force: 0, 82.0243522541752, 196.20000000000002, torque: 0, 0, 0
time: 0.06, force: 0, 102.70270327548391, 196.20000000000002, torque: 0, 0, 0
time: 0.0625, force: 0, 114.7024434893913, 196.20000000000002, torque: 0, 0, 0
time: 0.07, force: 0, 114.7024434893913, 196.20000000000002, torque: 0, 0, 0
time: 0.078125, force: 0, 117.36121520829522, 196.20000000000002, torque: 0, 0, 0
time: 0.08, force: 0, 117.36121520829522, 196.20000000000002, torque: 0, 0, 0
time: 0.09, force: 0, 112.01705837312615, 196.20000000000002, torque: 0, 0, 0
time: 0.09375, force: 0, 101.34045655073031, 196.20000000000002, torque: 0, 0, 0
time: 0.1, force: 0, 101.34045655073031, 196.20000000000002, torque: 0, 0, 0
time: 0.109375, force: 0, 88.53364514494888, 196.20000000000002, torque: 0, 0, 0
time: 0.11, force: 0, 88.53364514494888, 196.20000000000002, torque: 0, 0, 0
time: 0.12, force: 0, 76.58385694897285, 196.20000000000002, torque: 0, 0, 0
time: 0.125, force: 0, 67.70902996779371, 196.20000000000002, torque: 0, 0, 0
time: 0.13, force: 0, 67.70902996779371, 196.20000000000002, torque: 0, 0, 0
time: 0.14, force: 0, 63.0682905371781, 196.20000000000002, torque: 0, 0, 0
time: 0.140625, force: 0, 62.74210612213316, 196.20000000000002, torque: 0, 0, 0
time: 0.15, force: 0, 62.74210612213316, 196.20000000000002, torque: 0, 0, 0
time: 0.15625, force: 0, 65.93209936702071, 196.20000000000002, torque: 0, 0, 0
time: 0.16, force: 0, 65.93209936702071, 196.20000000000002, torque: 0, 0, 0
time: 0.17, force: 0, 71.29660118916293, 196.20000000000002, torque: 0, 0, 0
time: 0.171875, force: 0, 77.32767619404312, 196.20000000000002, torque: 0, 0, 0
time: 0.18, force: 0, 77.32767619404312, 196.20000000000002, torque: 0, 0, 0
time: 0.1875, force: 0, 82.68592930851514, 196.20000000000002, torque: 0, 0, 0
time: 0.19, force: 0, 82.68592930851514, 196.20000000000002, torque: 0, 0, 0
time: 0.2, force: 0, 86.43459620501103, 196.20000000000002, torque: 0, 0, 0
time: 0.203125, force: 0, 88.14626814681725, 196.20000000000002, torque: 0, 0, 0
time: 0.21, force: 0, 88.14626814681725, 196.20000000000002, torque: 0, 0, 0
time: 0.21875, force: 0, 87.88640404371839, 196.20000000000002, torque: 0, 0, 0
time: 0.22, force: 0, 87.88640404371839, 196.20000000000002, torque: 0, 0, 0
time: 0.23, force: 0, 86.10158891552233, 196.20000000000002, torque: 0, 0, 0
time: 0.234375, force: 0, 83.45394855793309, 196.20000000000002, torque: 0, 0, 0
time: 0.24, force: 0, 83.45394855793309, 196.20000000000002, torque: 0, 0, 0
time: 0.25, force: 0, 80.6456082283391, 196.20000000000002, torque: 0, 0, 0
time: 0.26, force: 0, 78.27028938276648, 196.20000000000002, torque: 0, 0, 0
time: 0.265625, force: 0, 76.71628723018608, 196.20000000000002, torque: 0, 0, 0
time: 0.27, force: 0, 76.71628723018608, 196.20000000000002, torque: 0, 0, 0
time: 0.28, force: 0, 76.12994533046313, 196.20000000000002, torque: 0, 0, 0
time: 0.28125, force: 0, 76.43482176930627, 196.20000000000002, torque: 0, 0, 0
time: 0.29, force: 0, 76.43482176930627, 196.20000000000002, torque: 0, 0, 0
time: 0.296875, force: 0, 77.39156721742768, 196.20000000000002, torque: 0, 0, 0
time: 0.3, force: 0, 77.39156721742768, 196.20000000000002, torque: 0, 0, 0
time: 0.31, force: 0, 78.67839276733068, 196.20000000000002, torque: 0, 0, 0
time: 0.3125, force: 0, 79.97191594915031, 196.20000000000002, torque: 0, 0, 0
time: 0.32, force: 0, 79.97191594915031, 196.20000000000002, torque: 0, 0, 0
time: 0.328125, force: 0, 81.01214325931316, 196.20000000000002, torque: 0, 0, 0
time: 0.33, force: 0, 81.01214325931316, 196.20000000000002, torque: 0, 0, 0
time: 0.34, force: 0, 81.64177053012756, 196.20000000000002, torque: 0, 0, 0
time: 0.34375, force: 0, 81.81708317822434, 196.20000000000002, torque: 0, 0, 0
time: 0.35000000000000003, force: 0, 81.81708317822434, 196.20000000000002, torque: 0, 0, 0
time: 0.359375, force: 0, 81.59396128543418, 196.20000000000002, torque: 0, 0, 0
time: 0.36, force: 0, 81.59396128543418, 196.20000000000002, torque: 0, 0, 0
time: 0.37, force: 0, 81.09677095218082, 196.20000000000002, torque: 0, 0, 0
time: 0.375, force: 0, 80.47978789175625, 196.20000000000002, torque: 0, 0, 0
time: 0.38, force: 0, 80.47978789175625, 196.20000000000002, torque: 0, 0, 0
time: 0.39, force: 0, 79.89036175029173, 196.20000000000002, torque: 0, 0, 0
time: 0.390625, force: 0, 79.440838391736, 196.20000000000002, torque: 0, 0, 0
time: 0.4, force: 0, 79.440838391736, 196.20000000000002, torque: 0, 0, 0
time: 0.40625, force: 0, 79.1931015739098, 196.20000000000002, torque: 0, 0, 0
time: 0.41000000000000003, force: 0, 79.1931015739098, 196.20000000000002, torque: 0, 0, 0
time: 0.42, force: 0, 79.15629916534384, 196.20000000000002, torque: 0, 0, 0
time: 0.421875, force: 0, 79.29556955134353, 196.20000000000002, torque: 0, 0, 0
time: 0.43, force: 0, 79.29556955134353, 196.20000000000002, torque: 0, 0, 0
time: 0.4375, force: 0, 79.54782149948825, 196.20000000000002, torque: 0, 0, 0
time: 0.44, force: 0, 79.54782149948825, 196.20000000000002, torque: 0, 0, 0
time: 0.45, force: 0, 79.84000032234206, 196.20000000000002, torque: 0, 0, 0
time: 0.453125, force: 0, 80.10569017818759, 196.20000000000002, torque: 0, 0, 0
time: 0.46, force: 0, 80.10569017818759, 196.20000000000002, torque: 0, 0, 0
time: 0.46875, force: 0, 80.29706575210894, 196.20000000000002, torque: 0, 0, 0
time: 0.47000000000000003, force: 0, 80.29706575210894, 196.20000000000002, torque: 0, 0, 0
time: 0.48, force: 0, 80.39073432711152, 196.20000000000002, torque: 0, 0, 0
time: 0.484375, force: 0, 80.38752296396012, 196.20000000000002, torque: 0, 0, 0
time: 0.49, force: 0, 80.38752296396012, 196.20000000000002, torque: 0, 0, 0
time: 0.5, force: 0, 80.3074652921807, 196.20000000000002, torque: 0, 0, 0
time: 0.51, force: 0, 80.18195119914218, 196.20000000000002, torque: 0, 0, 0
time: 0.515625, force: 0, 80.04517703971503, 196.20000000000002, torque: 0, 0, 0
time: 0.52, force: 0, 80.04517703971503, 196.20000000000002, torque: 0, 0, 0
time: 0.53, force: 0, 79.92674599044314, 196.20000000000002, torque: 0, 0, 0
time: 0.53125, force: 0, 79.84666796853989, 196.20000000000002, torque: 0, 0, 0
time: 0.54, force: 0, 79.84666796853989, 196.20000000000002, torque: 0, 0, 0
time: 0.546875, force: 0, 79.81327863517419, 196.20000000000002, torque: 0, 0, 0
time: 0.55, force: 0, 79.81327863517419, 196.20000000000002, torque: 0, 0, 0
time: 0.56, force: 0, 79.82390931531302, 196.20000000000002, torque: 0, 0, 0
time: 0.5625, force: 0, 79.86762325357245, 196.20000000000002, torque: 0, 0, 0
time: 0.5700000000000001, force: 0, 79.86762325357245, 196.20000000000002, torque: 0, 0, 0
time: 0.578125, force: 0, 79.9290574666216, 196.20000000000002, torque: 0, 0, 0
time: 0.58, force: 0, 79.9290574666216, 196.20000000000002, torque: 0, 0, 0
time: 0.59, force: 0, 79.99238067908988, 196.20000000000002, torque: 0, 0, 0
time: 0.59375, force: 0, 80.04455267884492, 196.20000000000002, torque: 0, 0, 0
time: 0.6, force: 0, 80.04455267884492, 196.20000000000002, torque: 0, 0, 0
time: 0.609375, force: 0, 80.07737317879293, 196.20000000000002, torque: 0, 0, 0
time: 0.61, force: 0, 80.07737317879293, 196.20000000000002, torque: 0, 0, 0
time: 0.62, force: 0, 80.08815278705939, 196.20000000000002, torque: 0, 0, 0
time: 0.625, force: 0, 80.07914771727975, 196.20000000000002, torque: 0, 0, 0
time: 0.63, force: 0, 80.07914771727975, 196.20000000000002, torque: 0, 0, 0
time: 0.64, force: 0, 80.05611872380491, 196.20000000000002, torque: 0, 0, 0
time: 0.640625, force: 0, 80.02647771245731, 196.20000000000002, torque: 0, 0, 0
time: 0.65, force: 0, 80.02647771245731, 196.20000000000002, torque: 0, 0, 0
time: 0.65625, force: 0, 79.99747516140232, 196.20000000000002, torque: 0, 0, 0
time: 0.66, force: 0, 79.99747516140232, 196.20000000000002, torque: 0, 0, 0
time: 0.67, force: 0, 79.97478262678027, 196.20000000000002, torque: 0, 0, 0
time: 0.671875, force: 0, 79.96167469531734, 196.20000000000002, torque: 0, 0, 0
time: 0.68, force: 0, 79.96167469531734, 196.20000000000002, torque: 0, 0, 0
time: 0.6875, force: 0, 79.95885397522962, 196.20000000000002, torque: 0, 0, 0
time: 0.6900000000000001, force: 0, 79.95885397522962, 196.20000000000002, torque: 0, 0, 0
time: 0.7000000000000001, force: 0, 79.96482540982441, 196.20000000000002, torque: 0, 0, 0
time: 0.703125, force: 0, 79.97663511359133, 196.20000000000002, torque: 0, 0, 0
time: 0.71, force: 0, 79.97663511359133, 196.20000000000002, torque: 0, 0, 0
